text,label,source,sentimiento_tabularis,calificacion_nlp_bert,sentimiento_robertuito
estoy hasta el ojete de que me digáis que tengo cara de mala leche,negative,intertass_2017,Muy Negativo,Muy Negativo,Negativo
@user Por?  Tenía pensado verla después de la segunda de Daredevil,neutral,intertass_2017,Negativo,Muy Negativo,Neutral
Esto de estar feliz mola,positive,intertass_2017,Muy Positivo,Muy Positivo,Positivo
Ya no es tan divertido,negative,intertass_2017,Negativo,Negativo,Negativo
"@user te recuerdo que soy una persona que tiene criterio, equivocado, pero lo tengo",neutral,intertass_2017,Neutral,Muy Negativo,Neutral
@user @user @user con una pequeña donación hará felices a miles de chicas que no tienen  #asociacionmariloli,positive,intertass_2017,Positivo,Positivo,Positivo
He probado una nueva espuma para el pelo y sí que lo deja más rizado pero se queda como efecto gomina y no me gusta.,negative,intertass_2017,Negativo,Negativo,Negativo
@user Ojalá pudiera darte el abrazo en vivo o al menos acompañarte hoy. Siento mucho lo de tu primo,neutral,intertass_2017,Positivo,Neutral,Negativo
@user aquí tienes a mi bae aka una egipcia preciosa que esta aprendiendo español. Os llevareis bien  @user,positive,intertass_2017,Muy Positivo,Muy Positivo,Positivo
"@user ya somos dos, que triste",negative,intertass_2017,Muy Negativo,Muy Negativo,Negativo
JUAS ahora dicen que la paja se la van a hacer con Tracer y su novia. Porque siempre se puede caer más bajo aún ¿no?,neutral,intertass_2017,Muy Negativo,Muy Negativo,Negativo
#2AñosDeLegiónHolk Llevo como unos 8 meses Talvez menos o mas no sé Me enseñaron y demostraron que LH es algo magico,positive,intertass_2017,Positivo,Muy Negativo,Positivo
"🌼 severus snape 🌼  -pobresito  -nunca le odié, me parecía muy estricto e injusto pero sabía que algo pasaba...",negative,intertass_2017,Neutral,Neutral,Negativo
"@user es chevre las letras!! sabes q dia es mañana,....",neutral,intertass_2017,Muy Positivo,Muy Negativo,Neutral
Se echa de menos  #digital #art #life @ Escuela Superior de Arte y Tecnología (ESAT) http,positive,intertass_2017,Muy Positivo,Negativo,Neutral
"Esta ceniza me tiene harta, me arden los ojos",negative,intertass_2017,Muy Negativo,Muy Negativo,Negativo
¿Aprender Motion Graphics en #Barcelona sin que me cueste un riñón es posible? ¿Alguien conoce algún sitio?,neutral,intertass_2017,Neutral,Muy Negativo,Neutral
@user No. tampoco soy cursi,positive,intertass_2017,Muy Negativo,Muy Negativo,Neutral
En fin estoy hasta los huevos del 90% de las personas así que.,negative,intertass_2017,Positivo,Negativo,Negativo
"@user jajajajaja, ¡qué linda! Yo también me puse re feliz cuando me enteré, nos dejan un álbum antes que TOP se vaya al servicio",neutral,intertass_2017,Positivo,Muy Negativo,Positivo
@user     Ya está preparando cosillas nuevas jeje,positive,intertass_2017,Positivo,Muy Positivo,Positivo
"@user Jo, yo que me había ilusionado",negative,intertass_2017,Positivo,Muy Negativo,Negativo
Si la U cerró todo... entonces yo estoy libre hasta el lunes,neutral,intertass_2017,Muy Negativo,Muy Negativo,Neutral
Hoy toca escuchar a #MiguelRios con otros grandes artistas...  #Insurrección...,positive,intertass_2017,Neutral,Muy Positivo,Positivo
"@user @user qué tendrá brozas.. jaajajaja que me descontrola, será la mala influencia",negative,intertass_2017,Muy Negativo,Muy Negativo,Negativo
@user Katy le dió like en instagram y en mis Rt hace dos días los vieron juntos,neutral,intertass_2017,Positivo,Muy Positivo,Neutral
"Voy a jugar mi primera ranked de 10. Hmm no se si la liaré o no, pero bronce V me espera y mañana jugaré poco o nada, so a jugársela",positive,intertass_2017,Muy Positivo,Muy Negativo,Positivo
Cuando le he dicho a la bollo que estoy morena se ha reído en mi cara,negative,intertass_2017,Muy Negativo,Muy Negativo,Negativo
@user @user @user @user lo importante es saber cuando! Por si hay que evitar compras foráneas,neutral,intertass_2017,Neutral,Neutral,Neutral
Sin duda @user fue una experiencia preciosa  @user @user Y habrá más!,positive,intertass_2017,Muy Positivo,Muy Positivo,Positivo
"Como sé que les re interesa, les actualizo: me dijo que sí a ver una peli pero me habló de un pibe dándome a entender que están saliendo",negative,intertass_2017,Muy Negativo,Positivo,Neutral
como entraba una conversación de estas largas de hablar toda la noche con alguien,neutral,intertass_2017,Neutral,Muy Positivo,Neutral
una Go-Pro de calidad! proteccion bajo el agua y soporte de cabeza    porq ago tantas caras...OK EN FIN!,positive,intertass_2017,Muy Positivo,Muy Positivo,Neutral
Se que la pena de muerte no es algo bueno . Pero que diablos podemos hacer con los violadores ! Yo no le veo otra salida,negative,intertass_2017,Muy Negativo,Negativo,Negativo
"@user se llama Wolf, es la mascota #SeSalen en apoyo a los deportistas paralímpicos  Más inf http 😃",neutral,intertass_2017,Neutral,Muy Positivo,Neutral
Que dicha que hay trabajo y salud y vacaciones también,positive,intertass_2017,Neutral,Muy Positivo,Positivo
@user Impresionante. Una pena que hoy no pueda hacer una foto del atardecer.. P.d Gracias guapiño,negative,intertass_2017,Muy Negativo,Muy Positivo,Negativo
"Este viernes iré al cine a ver #NoRespires para celebrar mi cumple. Por cierto, no estáis invitados",neutral,intertass_2017,Negativo,Muy Negativo,Neutral
La pulsera es preciosa tio,positive,intertass_2017,Positivo,Muy Positivo,Positivo
@user es lamentable un tema tan sensible jamás con ese enfoque,negative,intertass_2017,Negativo,Muy Negativo,Negativo
"-Me caes muy bien  -Tienes que jugar más partidas al lol con Russel y conmigo -Por qué tan Otako, deja de ser otako -Haber si me muero",neutral,intertass_2017,Muy Positivo,Positivo,Positivo
"@user, vaya, felicidades atrasadas y muchas gracias",positive,intertass_2017,Neutral,Muy Positivo,Positivo
"@user  Otra cosa es que no tuviera seguridad social, porqe no era obligatorio en su situacion. Lee, los libros no muerden",negative,intertass_2017,Negativo,Muy Negativo,Negativo
"Trato de manejar esa sensación de: ""no me soporto a mi misma"" de estos ultimos 2 días ¡qué dolor! Es que no soy yo misma. #malditoandres",neutral,intertass_2017,Muy Negativo,Muy Negativo,Negativo
@user Que bonita la gente educada un gran abrazo para vos 🤗,positive,intertass_2017,Muy Positivo,Muy Positivo,Positivo
"@user En Espanya la prensa ni es libre, ni es independiente, ni muchísimo menos plural  Síntoma de nuestra pobre democracia.",negative,intertass_2017,Neutral,Muy Negativo,Negativo
@user fuera del típico saludo navideño tengo una duda: pasan Navidad juntos o cada uno con su familia? Saludos desde Lima,neutral,intertass_2017,Neutral,Neutral,Neutral
@user Feliz Navidad Felino!!! Jaja! Saludos y abrazos a la familia!,positive,intertass_2017,Muy Positivo,Muy Positivo,Positivo
Se me rompió el pantalón horizontalmrnnte por el muslo hasta debajo de la nalga... Ya estoy a la moda,negative,intertass_2017,Muy Negativo,Negativo,Negativo
"Estimada @user, reciba un cordial saludo, nosotros somos el 1er Centro de Ozonoterapia en el Perú, contamos con muchos tratamientos",neutral,intertass_2017,Positivo,Muy Positivo,Positivo
FF a los geniales de @user !!,positive,intertass_2017,Muy Positivo,Muy Positivo,Positivo
"90% para designar a quienes somos muy aficionados a todos este mundo nippon y aunque la elicación suene que tiene un ""final feliz"" mmm",negative,intertass_2017,Neutral,Neutral,Neutral
sería muy chuzo tener una gopro pero yo de mi casa no salgo así que no tendría mucho sentido.,neutral,intertass_2017,Muy Negativo,Negativo,Neutral
2. Si. Eres mi crush máximo aunque te considere de mis mejores amigos,positive,intertass_2017,Positivo,Muy Positivo,Positivo
