ProductKey,Product Code,Product Name,Product Description,Comentario,sentimiento_tabularis,calificacion_nlp_bert
1,101001,Contoso 512MB MP3 Player E51 Silver,512MB USB driver plays MP3 and WMA,[*Suspicious Email*] Urgente hace dias que no puedo ingresar a la tienda necesito una solucion urgente 😡😡😡🤬🤬🤬,Muy Positivo,Muy Negativo (1 estrella)
2,101002,Contoso 512MB MP3 Player E51 Blue,512MB USB driver plays MP3 and WMA,[*Suspicious Email*] Usuario y contraseña no he logrado resetear la contraseña y nadie de soporte me responde,Muy Negativo,Muy Negativo (1 estrella)
3,101003,Contoso 1G MP3 Player E100 White,1GB flash memory and USB driver plays MP3 and WMA,[*Suspicious Email*] Usuario y contraseña en tienda,Muy Positivo,Muy Negativo (1 estrella)
4,101004,Contoso 2G MP3 Player E200 Silver,"2GB flash memory, LCD display, plays MP3 and WMA",[*Suspicious Email*] Valores a pagar no entiendo si mi pago fue recibido o no adjunto captura de la transferencia,Neutral,Muy Negativo (1 estrella)
5,101005,Contoso 2G MP3 Player E200 Red,"2GB flash memory, LCD display, plays MP3 and WMA",Ya no es tan divertido,Negativo,Negativo (2 estrellas)
6,101006,Contoso 2G MP3 Player E200 Black,"2GB flash memory, LCD display, plays MP3 and WMA","@user te recuerdo que soy una persona que tiene criterio, equivocado, pero lo tengo",Neutral,Muy Negativo (1 estrella)
7,101007,Contoso 2G MP3 Player E200 Blue,"2GB flash memory, LCD display, plays MP3 and WMA",@user @user @user con una pequeña donación hará felices a miles de chicas que no tienen  #asociacionmariloli,Positivo,Positivo (4 estrellas)
8,101008,Contoso 4G MP3 Player E400 Silver,"4GB flash memory and FM Radio, LCD Display with 7-Color Backlight, plays MP3 and WMA",He probado una nueva espuma para el pelo y sí que lo deja más rizado pero se queda como efecto gomina y no me gusta.,Negativo,Negativo (2 estrellas)
9,101009,Contoso 4G MP3 Player E400 Black,"4GB flash memory and FM Radio, LCD Display with 7-Color Backlight, plays MP3 and WMA",@user Ojalá pudiera darte el abrazo en vivo o al menos acompañarte hoy. Siento mucho lo de tu primo,Positivo,Neutral (3 estrellas)
10,101010,Contoso 4G MP3 Player E400 Green,"4GB flash memory and FM Radio, LCD Display with 7-Color Backlight, plays MP3 and WMA",@user aquí tienes a mi bae aka una egipcia preciosa que esta aprendiendo español. Os llevareis bien  @user,Muy Positivo,Muy Positivo (5 estrellas)
11,101011,Contoso 4G MP3 Player E400 Orange,"4GB flash memory and FM Radio, LCD Display with 7-Color Backlight, plays MP3 and WMA","@user ya somos dos, que triste",Muy Negativo,Muy Negativo (1 estrella)
12,101012,Contoso 4GB Flash MP3 Player E401 Blue,"1.8'' color LCD, play MP3, WMA and Video MTV, and share JPG",JUAS ahora dicen que la paja se la van a hacer con Tracer y su novia. Porque siempre se puede caer más bajo aún ¿no?,Muy Negativo,Muy Negativo (1 estrella)
13,101013,Contoso 4GB Flash MP3 Player E401 Black,"1.8'' color LCD, play MP3, WMA and Video MTV, and share JPG",#2AñosDeLegiónHolk Llevo como unos 8 meses Talvez menos o mas no sé Me enseñaron y demostraron que LH es algo magico,Positivo,Muy Negativo (1 estrella)
14,101014,Contoso 4GB Flash MP3 Player E401 Silver,"1.8'' color LCD, play MP3, WMA and Video MTV, and share JPG","🌼 severus snape 🌼  -pobresito  -nunca le odié, me parecía muy estricto e injusto pero sabía que algo pasaba...",Neutral,Neutral (3 estrellas)
15,101015,Contoso 4GB Flash MP3 Player E401 White,"1.8'' color LCD, play MP3, WMA and Video MTV, and share JPG","@user es chevre las letras!! sabes q dia es mañana,....",Muy Positivo,Muy Negativo (1 estrella)
16,101016,Contoso 8GB Super-Slim MP3/Video Player M800 White,"2"" color LCD, Touchpad, Plays music, video, photos and text",Se echa de menos  #digital #art #life @ Escuela Superior de Arte y Tecnología (ESAT) http,Muy Positivo,Negativo (2 estrellas)
17,101017,Contoso 8GB Super-Slim MP3/Video Player M800 Red,"2"" color LCD, Touchpad, Plays music, video, photos and text","Esta ceniza me tiene harta, me arden los ojos",Muy Negativo,Muy Negativo (1 estrella)
18,101018,Contoso 8GB Super-Slim MP3/Video Player M800 Green,"2"" color LCD, Touchpad, Plays music, video, photos and text",¿Aprender Motion Graphics en #Barcelona sin que me cueste un riñón es posible? ¿Alguien conoce algún sitio?,Neutral,Muy Negativo (1 estrella)
19,101019,Contoso 8GB Super-Slim MP3/Video Player M800 Pink,"2"" color LCD, Touchpad, Plays music, video, photos and text",@user No. tampoco soy cursi,Muy Negativo,Muy Negativo (1 estrella)
20,101020,Contoso 8GB MP3 Player new model M820 Black,"2'' LCD with blue-white LED, 320x240-pixel, plays music, video, photos and text, display JPEG, BMP, GIF, TIFF and PNG  ",En fin estoy hasta los huevos del 90% de las personas así que.,Positivo,Negativo (2 estrellas)
21,101021,Contoso 8GB MP3 Player new model M820 Blue,"2'' LCD with blue-white LED, 320x240-pixel, plays music, video, photos and text, display JPEG, BMP, GIF, TIFF and PNG  ","@user jajajajaja, ¡qué linda! Yo también me puse re feliz cuando me enteré, nos dejan un álbum antes que TOP se vaya al servicio",Positivo,Muy Negativo (1 estrella)
22,101022,Contoso 8GB MP3 Player new model M820 Yellow,"2'' LCD with blue-white LED, 320x240-pixel, plays music, video, photos and text, display JPEG, BMP, GIF, TIFF and PNG  ",@user     Ya está preparando cosillas nuevas jeje,Positivo,Muy Positivo (5 estrellas)
23,101023,Contoso 8GB MP3 Player new model M820 White,"2'' LCD with blue-white LED, 320x240-pixel, plays music, video, photos and text, display JPEG, BMP, GIF, TIFF and PNG  ","@user Jo, yo que me había ilusionado",Positivo,Muy Negativo (1 estrella)
24,101024,Contoso 16GB Mp5 Player M1600 Blue,"3"" 16:9 TFT Touch screen, 16GB flash memory, plays AVI/RM/RMVB/FLV",Si la U cerró todo... entonces yo estoy libre hasta el lunes,Muy Negativo,Muy Negativo (1 estrella)
25,101025,Contoso 16GB Mp5 Player M1600 Black,"3"" 16:9 TFT Touch screen, 16GB flash memory, plays AVI/RM/RMVB/FLV",Hoy toca escuchar a #MiguelRios con otros grandes artistas...  #Insurrección...,Neutral,Muy Positivo (5 estrellas)
26,101026,Contoso 16GB Mp5 Player M1600 Green,"3"" 16:9 TFT Touch screen, 16GB flash memory, plays AVI/RM/RMVB/FLV","@user @user qué tendrá brozas.. jaajajaja que me descontrola, será la mala influencia",Muy Negativo,Muy Negativo (1 estrella)
27,101027,Contoso 16GB Mp5 Player M1600 White,"3"" 16:9 TFT Touch screen, 16GB flash memory, plays AVI/RM/RMVB/FLV",@user Katy le dió like en instagram y en mis Rt hace dos días los vieron juntos,Positivo,Muy Positivo (5 estrellas)
28,101028,Contoso 16GB Mp5 Player M1600 Red,"3"" 16:9 TFT Touch screen, 16GB flash memory, plays AVI/RM/RMVB/FLV","Voy a jugar mi primera ranked de 10. Hmm no se si la liaré o no, pero bronce V me espera y mañana jugaré poco o nada, so a jugársela",Muy Positivo,Muy Negativo (1 estrella)
29,101029,Contoso 32GB Video MP3 Player M3200 White,"4.3'' Touch screen, 32GB flash memory, beyond 30 hours battery life",Cuando le he dicho a la bollo que estoy morena se ha reído en mi cara,Muy Negativo,Muy Negativo (1 estrella)
